day,total_cells,flask_count,avg_confluence,media_consumed,run_id
6,22365297.180869833,1,0.8946118872347933,65.0,7
1,1786144.9501706306,1,0.07144579800682523,65.0,8
2,3372554.0675220806,1,0.13490216270088323,65.0,8
3,6299450.363682984,1,0.2519780145473194,65.0,8
4,11334273.104960937,1,0.4533709241984375,65.0,8
5,18134802.228788953,1,0.7253920891515582,65.0,8
6,22262574.159022767,1,0.8905029663609106,65.0,8
1,1816424.382910617,1,0.07265697531642468,65.0,9
2,3429232.386931109,1,0.13716929547724435,65.0,9
3,6402053.854400965,1,0.25608215417603863,65.0,9
4,11499054.559354348,1,0.4599621823741739,65.0,9
5,18307167.51697862,1,0.7322867006791448,65.0,9
6,22288327.29263316,1,0.8915330917053265,65.0,9
1,1631011.5650524083,1,0.06524046260209633,65.0,10
2,3081794.0382250054,1,0.12327176152900021,65.0,10
3,5770650.59176391,1,0.2308260236705564,65.0,10
4,10470808.263163917,1,0.41883233052655666,65.0,10
5,17175478.084021047,1,0.6870191233608419,65.0,10
6,22050534.283127923,1,0.8820213713251169,65.0,10
1,1732708.956945463,1,0.06930835827781852,65.0,11
2,3272470.911463131,1,0.13089883645852524,65.0,11
3,6117885.623121918,1,0.24471542492487672,65.0,11
4,11040449.343683487,1,0.44161797374733947,65.0,11
5,17818875.40162281,1,0.7127550160649124,65.0,11
6,22205681.97937258,1,0.8882272791749032,65.0,11
1,1780451.4157923267,1,0.07121805663169306,65.0,12
2,3361893.925657123,1,0.13447575702628492,65.0,12
3,6280134.717409055,1,0.25120538869636216,65.0,12
4,11303149.60736419,1,0.45212598429456763,65.0,12
5,18101856.837118693,1,0.7240742734847477,65.0,12
6,22257228.42332092,1,0.8902891369328367,65.0,12
1,1872393.3995884638,1,0.07489573598353855,65.0,13
2,3533931.790059777,1,0.1413572716023911,65.0,13
3,6591162.418225599,1,0.26364649672902396,65.0,13
4,11800329.645852216,1,0.47201318583408863,65.0,13
5,18613288.760293283,1,0.7445315504117314,65.0,13
6,22324958.44388629,1,0.8929983377554517,65.0,13
1,1813025.7382963987,1,0.07252102953185595,65.0,14
2,3422871.8918902273,1,0.1369148756756091,65.0,14
3,6390547.587789507,1,0.25562190351158026,65.0,14
4,11480621.317970082,1,0.4592248527188033,65.0,14
5,18288058.588549618,1,0.7315223435419848,65.0,14
6,22285655.082795277,1,0.8914262033118111,65.0,14
1,2009231.6380290787,1,0.08036926552116315,65.0,15
2,3789536.74928041,1,0.1515814699712164,65.0,15
3,7050424.576735166,1,0.28201698306940665,65.0,15
4,12518448.332034808,1,0.5007379332813923,65.0,15
5,19295373.341515232,1,0.7718149336606093,65.0,15
6,22365353.742484435,1,0.8946141496993775,65.0,15
1,1826429.0764177411,1,0.07305716305670965,65.0,16
2,3447954.1490448206,1,0.13791816596179282,65.0,16
3,6435910.095401128,1,0.2574364038160451,65.0,16
4,11553225.279854018,1,0.4621290111941607,65.0,16
5,18363071.53780454,1,0.7345228615121816,65.0,16
6,22295883.899023145,1,0.8918353559609258,65.0,16
1,1924740.2868736824,1,0.07698961147494729,65.0,17
2,3631776.2248108992,1,0.14527104899243598,65.0,17
3,6767377.493830681,1,0.27069509975322725,65.0,17
4,12078167.973948892,1,0.48312671895795567,65.0,17
5,18885179.794993598,1,0.7554071917997439,65.0,17
6,22347823.574266262,1,0.8939129429706505,65.0,17
1,1843848.9477003538,1,0.07375395790801416,65.0,18
2,3480545.395810927,1,0.13922181583243706,65.0,18
3,6494805.47739268,1,0.2597922190957072,65.0,18
4,11647217.761073783,1,0.4658887104429513,65.0,18
5,18459176.226620026,1,0.738367049064801,65.0,18
6,22307967.099152494,1,0.8923186839660998,65.0,18
1,1984243.4070079243,1,0.07936973628031697,65.0,19
2,3742901.1039834335,1,0.14971604415933734,65.0,19
3,6966893.584138179,1,0.2786757433655272,65.0,19
4,12389296.097587341,1,0.4955718439034937,65.0,19
5,19177685.715816166,1,0.7671074286326467,65.0,19
6,22362393.36739523,1,0.8944957346958092,65.0,19
1,1670645.1010761717,1,0.06682580404304687,65.0,20
2,3156135.5316049363,1,0.12624542126419747,65.0,20
3,5906232.952311677,1,0.23624931809246708,65.0,20
4,10694415.818123719,1,0.42777663272494876,65.0,20
5,17432856.534141596,1,0.6973142613656639,65.0,20
6,22118970.20163469,1,0.8847588080653876,65.0,20
1,1924018.0196440627,1,0.07696072078576251,65.0,21
2,3630426.72601761,1,0.14521706904070442,65.0,21
3,6764950.509092853,1,0.2705980203637141,65.0,21
4,12074360.598715028,1,0.48297442394860113,65.0,21
5,18881521.840546753,1,0.7552608736218701,65.0,21
6,22347575.826392703,1,0.8939030330557081,65.0,21
1,1727412.9914827798,1,0.0690965196593112,65.0,22
2,3262547.74900888,1,0.1305019099603552,65.0,22
3,6099857.163902168,1,0.24399428655608674,65.0,22
4,11011120.649284774,1,0.44044482597139095,65.0,22
5,17786740.585918453,1,0.7114696234367381,65.0,22
6,22199188.133210048,1,0.887967525328402,65.0,22
1,1953197.7824750026,1,0.0781279112990001,65.0,23
2,3684934.8114145324,1,0.1473973924565813,65.0,23
3,6862902.505533835,1,0.2745161002213534,65.0,23
4,12227592.853250263,1,0.4891037141300105,65.0,23
5,19027244.192653492,1,0.7610897677061397,65.0,23
6,22356189.964880913,1,0.8942475985952365,65.0,23
1,2087128.1696943352,1,0.08348512678777341,65.0,24
2,3934794.3362918957,1,0.15739177345167582,65.0,24
3,7309825.562593779,1,0.29239302250375115,65.0,24
4,12915273.64042056,1,0.5166109456168224,65.0,24
5,19643182.675240964,1,0.7857273070096386,65.0,24
6,22364491.576198194,1,0.8945796630479278,65.0,24
1,1781657.5237422558,1,0.07126630094969023,65.0,25
2,3364152.2227403587,1,0.13456608890961436,65.0,25
3,6284227.107709348,1,0.2513690843083739,65.0,25
4,11309746.41592199,1,0.4523898566368796,65.0,25
5,18108850.119091105,1,0.7243540047636442,65.0,25
1,1921674.7895407365,1,0.07686699158162946,65.0,26
2,3626048.4841409368,1,0.14504193936563747,65.0,26
3,6757075.864499206,1,0.2702830345799682,65.0,26
